	Date	Code	CompanyName	CompanyNameEnglish	Sector17Code	Sector17CodeName	Sector33Code	Sector33CodeName	ScaleCategory	MarketCode	MarketCodeName
4090	2023-07-14	95530	マイクロアド	MicroAd,Inc.	10	情報通信・サービスその他	9050	サービス業	-	0113	グロース
4091	2023-07-14	95540	ＡＶｉＣ	AViC Co.,Ltd.	10	情報通信・サービスその他	9050	サービス業	-	0113	グロース
4092	2023-07-14	95560	ＩＮＴＬＯＯＰ	INTLOOP Inc.	10	情報通信・サービスその他	9050	サービス業	-	0113	グロース
4093	2023-07-14	95570	エアークローゼット	airCloset,Inc.	10	情報通信・サービスその他	9050	サービス業	-	0113	グロース
4094	2023-07-14	95580	ジャパニアス	Japaniace Co.,Ltd.	10	情報通信・サービスその他	9050	サービス業	-	0113	グロース
4095	2023-07-14	95590	ペアキャピタル	Pear Capital,inc.	10	情報通信・サービスその他	9050	サービス業	-	0105	TOKYO PRO MARKET
4096	2023-07-14	95600	プログリット	PROGRIT Inc.	10	情報通信・サービスその他	9050	サービス業	-	0113	グロース
4097	2023-07-14	95610	グラッドキューブ	GLAD CUBE Inc.	10	情報通信・サービスその他	9050	サービス業	-	0113	グロース
4098	2023-07-14	95620	ビジネスコーチ	Business Coach Inc.	10	情報通信・サービスその他	9050	サービス業	-	0113	グロース
4099	2023-07-14	95630	Ａｔｌａｓ　Ｔｅｃｈｎｏｌｏｇｉｅｓ	Atlas Technologies Corporation	10	情報通信・サービスその他	9050	サービス業	-	0113	グロース
4100	2023-07-14	95640	ＦＣＥ　Ｈｏｌｄｉｎｇｓ	FCE Holdings Inc.	10	情報通信・サービスその他	9050	サービス業	-	0112	スタンダード
4101	2023-07-14	95650	ウェルプレイド・ライゼスト	Wellplayed Rizest Inc.	10	情報通信・サービスその他	9050	サービス業	-	0113	グロース
4102	2023-07-14	96000	アイネット	I-NET CORP.	10	情報通信・サービスその他	5250	情報･通信業	TOPIX Small 2	0111	プライム
